block_date,token_standard,token_id,sell_volume,buy_volume,gross_volume,net_buy_pressure,total_supply,gross_daily_turnover_rate,data_source,primary_secondary_treatment,sample_window
2025-03-02,erc1155,11,849,849,1698,0,692451,0.00245216,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-03,erc1155,11,2908,2908,5816,0,692451,0.00839915,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-04,erc1155,11,1191,1191,2382,0,692451,0.00343995,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-05,erc1155,11,874,874,1748,0,692451,0.00252437,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-06,erc1155,11,2152,2152,4304,0,692451,0.00621560,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-07,erc1155,11,452,452,904,0,692451,0.00130551,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-08,erc1155,11,909,909,1818,0,692451,0.00262546,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-09,erc1155,11,4127,4127,8254,0,692451,0.01191998,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-10,erc1155,11,264,264,528,0,692451,0.00076251,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-11,erc1155,11,1745,1745,3490,0,692451,0.00504007,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-12,erc1155,11,137,137,274,0,692451,0.00039570,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-13,erc1155,11,53,53,106,0,692451,0.00015308,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-14,erc1155,11,104,104,208,0,692451,0.00030038,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-15,erc1155,11,102,102,204,0,692451,0.00029461,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-16,erc1155,11,51,51,102,0,692451,0.00014730,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-17,erc1155,11,321,321,642,0,692451,0.00092714,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-18,erc1155,11,4904,4904,9808,0,692451,0.01416418,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-19,erc1155,11,4712,4712,9424,0,692451,0.01360963,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-20,erc1155,11,536,536,1072,0,692451,0.00154812,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-21,erc1155,11,166,163,329,-3,692451,0.00047512,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-22,erc1155,11,1661,1664,3325,3,692451,0.00480178,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-23,erc1155,11,2321,2226,4547,-95,692451,0.00656653,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-24,erc1155,11,1530,1625,3155,95,692451,0.00455628,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-25,erc1155,11,437,437,874,0,692451,0.00126218,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-26,erc1155,11,2708,2687,5395,-21,692451,0.00779117,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-27,erc1155,11,8859,8880,17739,21,692451,0.02561770,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-28,erc1155,11,45,45,90,0,692451,0.00012997,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-01,erc1155,11,1746,1746,3492,0,692451,0.00504296,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-02,erc1155,11,155,155,310,0,692451,0.00044769,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-03,erc1155,11,1110,1110,2220,0,692451,0.00320600,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-04,erc1155,11,1057,1057,2114,0,692451,0.00305292,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-05,erc1155,11,413,413,826,0,692451,0.00119286,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-06,erc1155,11,3550,3550,7100,0,692451,0.01025343,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-07,erc1155,11,1233,1233,2466,0,692451,0.00356126,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-08,erc1155,11,2255,2255,4510,0,692451,0.00651310,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-09,erc1155,11,1347,1347,2694,0,692451,0.00389053,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-10,erc1155,11,532,532,1064,0,692451,0.00153657,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-11,erc1155,11,1678,1678,3356,0,692451,0.00484655,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-12,erc1155,11,1835,1835,3670,0,692451,0.00530001,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-13,erc1155,11,78,78,156,0,692451,0.00022529,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-14,erc1155,11,757,757,1514,0,692451,0.00218644,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-15,erc1155,11,422,422,844,0,692451,0.00121886,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-16,erc1155,11,811,811,1622,0,692451,0.00234240,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-17,erc1155,11,656,656,1312,0,692451,0.00189472,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-04-18,erc1155,11,1923,1923,3846,0,692451,0.00555418,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
