period,token_standard,token_id,total_sell,total_buy,total_volume,total_supply,turnover_rate,turnover_rate_percent,adjusted_turnover_rate,adjusted_turnover_rate_percent
2024-12-24,erc1155,6,0,7770,7770,445200,0.01745283,1.7453,-0.98254717,-98.2547
2024-12-24,erc1155,7,0,3278,3278,33663,0.09737694,9.7377,-0.90262306,-90.2623
2024-12-24,erc1155,8,0,1147,1147,26775,0.04283847,4.2838,-0.95716153,-95.7162
2024-12-24,erc1155,9,0,11219,11219,308553,0.03636004,3.6360,-0.96363996,-96.3640
2024-12-25,erc1155,10,141,380,521,33075,0.01575208,1.5752,-0.98424792,-98.4248
2024-12-25,erc1155,11,6694,6746,13440,692451,0.01940932,1.9409,-0.98059068,-98.0591
2024-12-25,erc1155,12,5534,6049,11583,444140,0.02607961,2.6080,-0.97392039,-97.3920
2024-12-25,erc1155,13,12257,13193,25450,648943,0.03921762,3.9218,-0.96078238,-96.0782
2024-12-25,erc1155,14,553,894,1447,31500,0.04593651,4.5937,-0.95406349,-95.4063
2024-12-25,erc1155,16,2424,3648,6072,626260,0.00969565,0.9696,-0.99030435,-99.0304
2024-12-25,erc1155,17,5243,11850,17093,522584,0.03270862,3.2709,-0.96729138,-96.7291
2024-12-25,erc1155,18,13939,19757,33696,706912,0.04766647,4.7666,-0.95233353,-95.2334
2024-12-25,erc1155,19,3101,3253,6354,445200,0.01427224,1.4272,-0.98572776,-98.5728
2024-12-25,erc1155,20,8303,10361,18664,619080,0.03014796,3.0148,-0.96985204,-96.9852
2024-12-25,erc1155,22,7054,13229,20283,641539,0.03161616,3.1616,-0.96838384,-96.8384
2024-12-25,erc1155,23,7750,18141,25891,741286,0.03492714,3.4927,-0.96507286,-96.5073
2024-12-25,erc1155,3,1202,1721,2923,165356,0.01767701,1.7677,-0.98232299,-98.2323
2024-12-25,erc1155,4,21195,21244,42439,238409,0.17800922,17.8009,-0.82199078,-82.1991
2024-12-25,erc1155,5,118,294,412,38010,0.01083925,1.0839,-0.98916075,-98.9161
2024-12-25,erc1155,6,20069,20082,40151,445200,0.09018643,9.0186,-0.90981357,-90.9814
2024-12-25,erc1155,7,68,305,373,33663,0.01108041,1.1080,-0.98891959,-98.8920
2024-12-25,erc1155,8,53,165,218,26775,0.00814192,0.8142,-0.99185808,-99.1858
2024-12-25,erc1155,9,1138,1659,2797,308553,0.00906489,0.9065,-0.99093511,-99.0935
2024-12-26,erc1155,10,266,239,505,33075,0.01526833,1.5268,-0.98473167,-98.4732
2024-12-26,erc1155,11,4625,4626,9251,692451,0.01335979,1.3360,-0.98664021,-98.6640
