period,token_standard,token_id,total_sell,total_buy,total_volume,total_supply,turnover_rate,turnover_rate_percent,adjusted_turnover_rate,adjusted_turnover_rate_percent
2025-05,erc1155,3,68390,68390,136780,165356,0.82718498,82.7185,-0.17281502,-17.2815
2025-05,erc1155,4,100896,74019,174915,238409,0.73367616,73.3676,-0.26632384,-26.6324
2025-05,erc1155,5,2146,2146,4292,38010,0.11291765,11.2918,-0.88708235,-88.7082
2025-05,erc1155,6,11810,11810,23620,445200,0.05305481,5.3055,-0.94694519,-94.6945
2025-05,erc1155,7,2884,2884,5768,33663,0.17134539,17.1345,-0.82865461,-82.8655
2025-05,erc1155,8,1398,1398,2796,26775,0.10442577,10.4426,-0.89557423,-89.5574
2025-05,erc1155,9,60561,38449,99010,308553,0.32088490,32.0885,-0.67911510,-67.9115
2025-06,erc1155,10,1434,1434,2868,33075,0.08671202,8.6712,-0.91328798,-91.3288
2025-06,erc1155,11,25137,25137,50274,692451,0.07260297,7.2603,-0.92739703,-92.7397
2025-06,erc1155,12,105540,162515,268055,444140,0.60353717,60.3537,-0.39646283,-39.6463
2025-06,erc1155,13,60356,60356,120712,648943,0.18601326,18.6013,-0.81398674,-81.3987
2025-06,erc1155,14,3046,3046,6092,31500,0.19339683,19.3397,-0.80660317,-80.6603
2025-06,erc1155,16,74065,83800,157865,626260,0.25207582,25.2076,-0.74792418,-74.7924
2025-06,erc1155,17,137596,210869,348465,522584,0.66681146,66.6811,-0.33318854,-33.3189
2025-06,erc1155,18,114331,157710,272041,706912,0.38483008,38.4830,-0.61516992,-61.5170
2025-06,erc1155,19,33021,33021,66042,445200,0.14834232,14.8342,-0.85165768,-85.1658
2025-06,erc1155,20,47878,47878,95756,619080,0.15467468,15.4675,-0.84532532,-84.5325
2025-06,erc1155,22,73931,99882,173813,641539,0.27093131,27.0931,-0.72906869,-72.9069
2025-06,erc1155,23,52742,54481,107223,741286,0.14464458,14.4645,-0.85535542,-85.5355
2025-06,erc1155,24,2124,2124,4248,32550,0.13050691,13.0507,-0.86949309,-86.9493
2025-06,erc1155,25,132948,132948,265896,1213275,0.21915559,21.9156,-0.78084441,-78.0844
2025-06,erc1155,27,365653,537521,903174,1435061,0.62936279,62.9363,-0.37063721,-37.0637
2025-06,erc1155,28,10223,39623,49846,29400,1.69544218,169.5442,0.69544218,69.5442
2025-06,erc1155,3,59908,59908,119816,165356,0.72459421,72.4594,-0.27540579,-27.5406
2025-06,erc1155,4,57984,84861,142845,238409,0.59915943,59.9159,-0.40084057,-40.0841
2025-06,erc1155,5,1095,1095,2190,38010,0.05761642,5.7616,-0.94238358,-94.2384
2025-06,erc1155,6,51346,51346,102692,445200,0.23066487,23.0665,-0.76933513,-76.9335
2025-06,erc1155,7,1518,1518,3036,33663,0.09018804,9.0188,-0.90981196,-90.9812
2025-06,erc1155,8,599,599,1198,26775,0.04474323,4.4743,-0.95525677,-95.5257
2025-06,erc1155,9,41306,63425,104731,308553,0.33942629,33.9426,-0.66057371,-66.0574
2025-07,erc1155,10,2420,2420,4840,33075,0.14633409,14.6334,-0.85366591,-85.3666
2025-07,erc1155,11,24341,24341,48682,692451,0.07030389,7.0304,-0.92969611,-92.9696
2025-07,erc1155,12,86472,70805,157277,444140,0.35411582,35.4116,-0.64588418,-64.5884
2025-07,erc1155,13,60815,59849,120664,648943,0.18593929,18.5939,-0.81406071,-81.4061
2025-07,erc1155,14,944,944,1888,31500,0.05993651,5.9937,-0.94006349,-94.0063
2025-07,erc1155,16,30163,30163,60326,626260,0.09632740,9.6327,-0.90367260,-90.3673
2025-07,erc1155,17,80701,54026,134727,522584,0.25780927,25.7809,-0.74219073,-74.2191
2025-07,erc1155,18,103135,59076,162211,706912,0.22946420,22.9464,-0.77053580,-77.0536
2025-07,erc1155,19,66823,66818,133641,445200,0.30018194,30.0182,-0.69981806,-69.9818
2025-07,erc1155,20,76189,58143,134332,619080,0.21698650,21.6986,-0.78301350,-78.3014
2025-07,erc1155,22,78376,77636,156012,641539,0.24318397,24.3184,-0.75681603,-75.6816
2025-07,erc1155,23,58184,57871,116055,741286,0.15655901,15.6559,-0.84344099,-84.3441
2025-07,erc1155,24,2445,2445,4890,32550,0.15023041,15.0230,-0.84976959,-84.9770
2025-07,erc1155,25,117216,117216,234432,1213275,0.19322248,19.3222,-0.80677752,-80.6778
2025-07,erc1155,27,253827,247505,501332,1435061,0.34934543,34.9345,-0.65065457,-65.0655
2025-07,erc1155,28,7298,7298,14596,29400,0.49646259,49.6463,-0.50353741,-50.3537
2025-07,erc1155,29,42519,574127,616646,1432200,0.43055858,43.0559,-0.56944142,-56.9441
2025-07,erc1155,3,63987,53101,117088,165356,0.70809647,70.8096,-0.29190353,-29.1904
2025-07,erc1155,4,35874,35496,71370,238409,0.29935950,29.9360,-0.70064050,-70.0640
2025-07,erc1155,5,1373,1373,2746,38010,0.07224415,7.2244,-0.92775585,-92.7756
2025-07,erc1155,6,55035,55035,110070,445200,0.24723720,24.7237,-0.75276280,-75.2763
2025-07,erc1155,7,2449,2449,4898,33663,0.14550100,14.5501,-0.85449900,-85.4499
2025-07,erc1155,8,1150,1150,2300,26775,0.08590103,8.5901,-0.91409897,-91.4099
2025-07,erc1155,9,30760,30467,61227,308553,0.19843268,19.8433,-0.80156732,-80.1567
2025-08,erc1155,10,2313,2313,4626,33075,0.13986395,13.9864,-0.86013605,-86.0136
2025-08,erc1155,11,18855,18855,37710,692451,0.05445873,5.4459,-0.94554127,-94.5541
2025-08,erc1155,12,74003,42379,116382,444140,0.26203900,26.2039,-0.73796100,-73.7961
2025-08,erc1155,13,52356,53322,105678,648943,0.16284635,16.2846,-0.83715365,-83.7154
2025-08,erc1155,14,4920,4920,9840,31500,0.31238095,31.2381,-0.68761905,-68.7619
2025-08,erc1155,16,55297,55297,110594,626260,0.17659439,17.6594,-0.82340561,-82.3406
2025-08,erc1155,17,79389,40525,119914,522584,0.22946359,22.9464,-0.77053641,-77.0536
2025-08,erc1155,18,112875,69971,182846,706912,0.25865454,25.8655,-0.74134546,-74.1345
2025-08,erc1155,19,106156,76635,182791,445200,0.41058176,41.0582,-0.58941824,-58.9418
2025-08,erc1155,20,94976,107322,202298,619080,0.32677198,32.6772,-0.67322802,-67.3228
2025-08,erc1155,22,89295,82276,171571,641539,0.26743659,26.7437,-0.73256341,-73.2563
2025-08,erc1155,23,184088,106198,290286,741286,0.39159784,39.1598,-0.60840216,-60.8402
2025-08,erc1155,24,3898,3898,7796,32550,0.23950845,23.9508,-0.76049155,-76.0492
2025-08,erc1155,25,470009,382979,852988,1213275,0.70304589,70.3046,-0.29695411,-29.6954
2025-08,erc1155,27,218688,225010,443698,1435061,0.30918407,30.9184,-0.69081593,-69.0816
2025-08,erc1155,28,16230,16230,32460,29400,1.10408163,110.4082,0.10408163,10.4082
