block_date,token_standard,token_id,sell_volume,buy_volume,gross_volume,net_buy_pressure,total_supply,gross_daily_turnover_rate,data_source,primary_secondary_treatment,sample_window
2025-02-18,erc1155,18,915,23491,24406,22576,706912,0.03452481,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-19,erc1155,18,3674,17111,20785,13437,706912,0.02940253,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-20,erc1155,18,3096,11065,14161,7969,706912,0.02003220,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-21,erc1155,18,2523,7711,10234,5188,706912,0.01447705,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-22,erc1155,18,2202,2203,4405,1,706912,0.00623133,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-23,erc1155,18,3985,3227,7212,-758,706912,0.01020212,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-24,erc1155,18,144,561,705,417,706912,0.00099730,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-26,erc1155,18,8336,8677,17013,341,706912,0.02406664,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-27,erc1155,18,2875,2875,5750,0,706912,0.00813397,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-28,erc1155,18,2773,2644,5417,-129,706912,0.00766291,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-02,erc1155,18,3381,3509,6890,128,706912,0.00974662,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-03-03,erc1155,18,4749,4750,9499,1,706912,0.01343732,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
